accession	initial_occurrences	passed_crabs	final_retained	manually_discarded	current_status
KP109575.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP109576.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP109577.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP109578.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP109579.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP260932.1	1		1	0	retained_final_dataset
KP742596.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP742642.1	1		0	0	not_retained_stage_unresolved_without_415_list
KP814011.1	1		1	0	retained_final_dataset
KR869513.1	1		1	0	retained_final_dataset
KR869514.1	1		1	0	retained_final_dataset
KR869515.1	1		1	0	retained_final_dataset
KR869516.1	1		1	0	retained_final_dataset
KR869517.1	1		1	0	retained_final_dataset
KR869518.1	1		1	0	retained_final_dataset
KR869519.1	1		1	0	retained_final_dataset
KR869520.1	1		1	0	retained_final_dataset
KR869521.1	1		1	0	retained_final_dataset
KR869522.1	1		1	0	retained_final_dataset
KR869523.1	1		1	0	retained_final_dataset
KR869524.1	1		1	0	retained_final_dataset
KR869525.1	1		1	0	retained_final_dataset
KR869526.1	1		1	0	retained_final_dataset
KR869527.1	1		1	0	retained_final_dataset
KR869528.1	1		1	0	retained_final_dataset
KR869529.1	1		1	0	retained_final_dataset
KR869530.1	1		1	0	retained_final_dataset
KR869531.1	1		1	0	retained_final_dataset
KR869532.1	1		1	0	retained_final_dataset
KR869533.1	1		1	0	retained_final_dataset
KR869534.1	1		1	0	retained_final_dataset
KR869535.1	1		1	0	retained_final_dataset
KR869536.1	1		1	0	retained_final_dataset
KR869537.1	1		1	0	retained_final_dataset
KR869538.1	1		1	0	retained_final_dataset
KR869539.1	1		1	0	retained_final_dataset
KR869540.1	1		1	0	retained_final_dataset
KR869541.1	1		1	0	retained_final_dataset
KR869542.1	1		1	0	retained_final_dataset
KR869543.1	1		1	0	retained_final_dataset
KR869544.1	1		1	0	retained_final_dataset
KR869545.1	1		1	0	retained_final_dataset
KR869546.1	1		1	0	retained_final_dataset
KR869547.1	1		1	0	retained_final_dataset
KR869548.1	1		1	0	retained_final_dataset
KR869549.1	1		1	0	retained_final_dataset
KR869550.1	1		1	0	retained_final_dataset
KR869551.1	1		1	0	retained_final_dataset
KR869552.1	1		1	0	retained_final_dataset
KR869553.1	1		1	0	retained_final_dataset
KR869554.1	1		1	0	retained_final_dataset
KR869555.1	1		1	0	retained_final_dataset
KR869556.1	1		1	0	retained_final_dataset
KR869557.1	1		1	0	retained_final_dataset
KR869558.1	1		1	0	retained_final_dataset
KR869559.1	1		1	0	retained_final_dataset
KR869560.1	1		1	0	retained_final_dataset
KR869561.1	1		1	0	retained_final_dataset
KR869562.1	1		1	0	retained_final_dataset
KR869563.1	1		1	0	retained_final_dataset
KR869564.1	1		1	0	retained_final_dataset
KR869565.1	1		1	0	retained_final_dataset
KR869566.1	1		1	0	retained_final_dataset
KR869567.1	1		1	0	retained_final_dataset
KR869568.1	1		1	0	retained_final_dataset
KR869569.1	1		1	0	retained_final_dataset
KR869570.1	1		1	0	retained_final_dataset
KR869571.1	1		1	0	retained_final_dataset
KR869572.1	1		1	0	retained_final_dataset
KR869573.1	1		1	0	retained_final_dataset
KR869574.1	1		1	0	retained_final_dataset
KR869575.1	1		1	0	retained_final_dataset
KR869576.1	1		1	0	retained_final_dataset
KR869577.1	1		1	0	retained_final_dataset
KR869578.1	1		1	0	retained_final_dataset
KR869579.1	1		1	0	retained_final_dataset
KR869580.1	1		1	0	retained_final_dataset
KR869581.1	1		1	0	retained_final_dataset
KR869582.1	1		1	0	retained_final_dataset
KR869583.1	1		1	0	retained_final_dataset
KR869584.1	1		1	0	retained_final_dataset
KR869585.1	1		1	0	retained_final_dataset
KR869586.1	1		1	0	retained_final_dataset
KR869587.1	1		1	0	retained_final_dataset
KR869588.1	1		1	0	retained_final_dataset
KR869589.1	1		1	0	retained_final_dataset
KR869590.1	1		1	0	retained_final_dataset
KR869591.1	1		1	0	retained_final_dataset
KR869592.1	1		1	0	retained_final_dataset
KR869593.1	1		1	0	retained_final_dataset
KR869594.1	1		1	0	retained_final_dataset
KR869595.1	1		1	0	retained_final_dataset
KR869596.1	1		1	0	retained_final_dataset
KR869597.1	1		1	0	retained_final_dataset
KR869598.1	1		1	0	retained_final_dataset
KR869599.1	1		1	0	retained_final_dataset
KR869600.1	1		1	0	retained_final_dataset
KR869601.1	1		1	0	retained_final_dataset
KR869602.1	1		1	0	retained_final_dataset
KR869603.1	1		1	0	retained_final_dataset
KR869604.1	1		1	0	retained_final_dataset
KR869605.1	1		1	0	retained_final_dataset
KR869606.1	1		1	0	retained_final_dataset
KR869607.1	1		1	0	retained_final_dataset
KR869608.1	1		1	0	retained_final_dataset
KR869609.1	1		1	0	retained_final_dataset
KR869610.1	1		1	0	retained_final_dataset
KR869611.1	1		1	0	retained_final_dataset
KR869612.1	1		1	0	retained_final_dataset
KR869613.1	1		1	0	retained_final_dataset
KR869614.1	1		1	0	retained_final_dataset
KR869615.1	1		1	0	retained_final_dataset
KR869616.1	1		1	0	retained_final_dataset
KR869617.1	1		1	0	retained_final_dataset
KR869618.1	1		1	0	retained_final_dataset
KR869619.1	1		1	0	retained_final_dataset
KR869620.1	1		1	0	retained_final_dataset
KR869621.1	1		1	0	retained_final_dataset
KR869622.1	1		1	0	retained_final_dataset
KR869623.1	1		1	0	retained_final_dataset
KR869624.1	1		1	0	retained_final_dataset
KR869625.1	1		1	0	retained_final_dataset
KR869626.1	1		1	0	retained_final_dataset
KR869627.1	1		1	0	retained_final_dataset
KT074476.1	1		1	0	retained_final_dataset
KU840522.1	1		1	0	retained_final_dataset
KX094979.1	1		1	0	retained_final_dataset
KX237595.1	1		0	0	not_retained_stage_unresolved_without_415_list
KX237597.1	1		0	0	not_retained_stage_unresolved_without_415_list
KX237599.1	1		0	0	not_retained_stage_unresolved_without_415_list
KX237600.1	1		0	0	not_retained_stage_unresolved_without_415_list
KX237603.1	1		0	0	not_retained_stage_unresolved_without_415_list
KX237604.1	1		0	0	not_retained_stage_unresolved_without_415_list
KX269196.1	1		1	0	retained_final_dataset
KX269198.1	1		1	0	retained_final_dataset
KX269208.1	1		1	0	retained_final_dataset
KX686108.1	1		1	0	retained_final_dataset
KY523150.1	1		1	0	retained_final_dataset
KY523151.1	1		1	0	retained_final_dataset
KY523152.1	1		1	0	retained_final_dataset
KY523153.1	1		1	0	retained_final_dataset
KY523154.1	1		1	0	retained_final_dataset
KY523155.1	1		1	0	retained_final_dataset
KY523156.1	1		1	0	retained_final_dataset
KY523157.1	1		1	0	retained_final_dataset
KY523158.1	1		1	0	retained_final_dataset
KY523159.1	1		1	0	retained_final_dataset
KY523160.1	1		1	0	retained_final_dataset
KY523161.1	1		1	0	retained_final_dataset
KY523162.1	1		1	0	retained_final_dataset
KY523163.1	1		1	0	retained_final_dataset
KY523164.1	1		1	0	retained_final_dataset
KY523165.1	1		1	0	retained_final_dataset
KY523166.1	1		1	0	retained_final_dataset
KY523167.1	1		1	0	retained_final_dataset
KY523168.1	1		1	0	retained_final_dataset
KY523169.1	1		1	0	retained_final_dataset
KY523170.1	1		1	0	retained_final_dataset
KY523171.1	1		1	0	retained_final_dataset
KY523172.1	1		1	0	retained_final_dataset
KY523173.1	1		1	0	retained_final_dataset
KY523174.1	1		1	0	retained_final_dataset
KY523175.1	1		1	0	retained_final_dataset
KY523176.1	1		1	0	retained_final_dataset
KY523177.1	1		1	0	retained_final_dataset
KY677760.1	1		1	0	retained_final_dataset
KY677782.1	1		1	0	retained_final_dataset
KY677788.1	1		1	0	retained_final_dataset
KY677796.1	1		1	0	retained_final_dataset
KY677801.1	1		1	0	retained_final_dataset
KY677804.1	1		1	0	retained_final_dataset
KY677808.1	1		1	0	retained_final_dataset
KY677815.1	1		1	0	retained_final_dataset
KY677817.1	1		1	0	retained_final_dataset
KY762016.1	1		0	0	not_retained_stage_unresolved_without_415_list
KY762018.1	1		0	0	not_retained_stage_unresolved_without_415_list
KY762019.1	1		0	0	not_retained_stage_unresolved_without_415_list
KY762020.1	1		0	0	not_retained_stage_unresolved_without_415_list
LC104739.1	1		0	0	not_retained_stage_unresolved_without_415_list
LC104747.1	1		0	0	not_retained_stage_unresolved_without_415_list
M10188.1	1		0	0	not_retained_stage_unresolved_without_415_list
M10217.1	1		0	0	not_retained_stage_unresolved_without_415_list
M13046.1	1		0	0	not_retained_stage_unresolved_without_415_list
M27605.1	1		1	0	retained_final_dataset
M57527.1	1		1	0	retained_final_dataset
MF043387.1	1		1	0	retained_final_dataset
MF043391.1	1		0	0	not_retained_stage_unresolved_without_415_list
MF043392.1	1		1	0	retained_final_dataset
MF043393.1	1		1	0	retained_final_dataset
MH105094.1	1		0	0	not_retained_stage_unresolved_without_415_list
MH105095.1	1		0	0	not_retained_stage_unresolved_without_415_list
MH105096.1	1		0	0	not_retained_stage_unresolved_without_415_list
MH105097.1	1		0	0	not_retained_stage_unresolved_without_415_list
MH105098.1	1		0	0	not_retained_stage_unresolved_without_415_list
MH105099.1	1		0	0	not_retained_stage_unresolved_without_415_list
MH105100.1	1		0	0	not_retained_stage_unresolved_without_415_list
MH536744.1	1		1	0	retained_final_dataset
MH885011.1	1		0	0	not_retained_stage_unresolved_without_415_list
MK013943.1	1		0	0	not_retained_stage_unresolved_without_415_list
MK013944.1	2		0	0	not_retained_stage_unresolved_without_415_list
MK013945.1	1		0	0	not_retained_stage_unresolved_without_415_list
MK013946.1	2		0	0	not_retained_stage_unresolved_without_415_list
MK013947.1	1		0	0	not_retained_stage_unresolved_without_415_list
MK013948.1	1		0	0	not_retained_stage_unresolved_without_415_list
MK013950.1	1		0	0	not_retained_stage_unresolved_without_415_list
MK013951.1	1		0	0	not_retained_stage_unresolved_without_415_list
MK013952.1	1		0	0	not_retained_stage_unresolved_without_415_list
MK013953.1	1		0	0	not_retained_stage_unresolved_without_415_list
MK013954.1	1		0	0	not_retained_stage_unresolved_without_415_list
MK013956.1	1		0	0	not_retained_stage_unresolved_without_415_list
MK013958.1	1		0	0	not_retained_stage_unresolved_without_415_list
MK130842.1	1		0	0	not_retained_stage_unresolved_without_415_list
MK130843.1	1		0	0	not_retained_stage_unresolved_without_415_list
MK511374.1	1		0	0	not_retained_stage_unresolved_without_415_list
MK511375.1	1		0	0	not_retained_stage_unresolved_without_415_list
MK511376.1	1		0	0	not_retained_stage_unresolved_without_415_list
MK511377.1	1		0	0	not_retained_stage_unresolved_without_415_list
MK511378.1	1		0	0	not_retained_stage_unresolved_without_415_list
MK511379.1	1		0	0	not_retained_stage_unresolved_without_415_list
MK511382.1	1		0	0	not_retained_stage_unresolved_without_415_list
MK511383.1	1		0	0	not_retained_stage_unresolved_without_415_list
MN122819.1	1		1	0	retained_final_dataset
MN122878.1	1		1	0	retained_final_dataset
MN122883.1	2		1	0	retained_final_dataset
MN122891.1	1		1	0	retained_final_dataset
MN122930.1	2		1	0	retained_final_dataset
MN122932.1	1		1	0	retained_final_dataset
MN241124.1	1		1	0	retained_final_dataset
MN259072.1	1		1	0	retained_final_dataset
MN259073.1	1		1	0	retained_final_dataset
MT410942.1	1		1	0	retained_final_dataset
MT410949.1	1		1	0	retained_final_dataset
MT483700.1	1		1	0	retained_final_dataset
NC_001573.1	1		0	0	not_retained_stage_unresolved_without_415_list
NC_009258.1	1		1	0	retained_final_dataset
NC_015788.1	1		1	0	retained_final_dataset
NC_015790.1	1		1	0	retained_final_dataset
NC_022696.1	1		1	0	retained_final_dataset
NC_023342.1	1		1	0	retained_final_dataset
NC_026895.1	1		1	0	retained_final_dataset
NC_029200.1	1		1	0	retained_final_dataset
NC_042226.1	1		1	0	retained_final_dataset
NC_051953.1	1		1	0	retained_final_dataset
ON746668.1	1		1	0	retained_final_dataset
OP046110.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046111.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046112.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046113.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046114.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046115.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046116.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046117.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046118.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046119.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046120.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046121.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046122.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046123.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046124.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046125.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046126.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046127.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046128.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046129.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046130.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046131.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046132.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046133.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046134.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046135.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046136.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046137.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046138.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046139.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046140.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046141.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046142.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046143.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046144.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046145.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046146.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046147.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046148.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046149.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046150.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046151.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046152.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046153.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046154.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046155.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046156.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046157.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046158.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046159.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046160.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046161.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046162.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046163.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046164.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046165.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046166.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046167.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046168.1	1		0	0	not_retained_stage_unresolved_without_415_list
OP046169.1	1		0	0	not_retained_stage_unresolved_without_415_list
OQ319272.1	1		1	0	retained_final_dataset
OQ319273.1	1		1	0	retained_final_dataset
OQ319274.1	1		1	0	retained_final_dataset
OQ319275.1	1		1	0	retained_final_dataset
OQ319276.1	1		1	0	retained_final_dataset
OQ319277.1	1		1	0	retained_final_dataset
OQ319278.1	1		1	0	retained_final_dataset
OQ319279.1	1		1	0	retained_final_dataset
OQ319280.1	1		1	0	retained_final_dataset
OQ319281.1	1		1	0	retained_final_dataset
OQ319282.1	1		1	0	retained_final_dataset
OQ319283.1	1		1	0	retained_final_dataset
OQ319284.1	1		1	0	retained_final_dataset
OQ319285.1	1		1	0	retained_final_dataset
OQ319286.1	1		1	0	retained_final_dataset
OQ319287.1	1		1	0	retained_final_dataset
OQ319288.1	1		1	0	retained_final_dataset
OQ319289.1	1		1	0	retained_final_dataset
OQ319290.1	1		1	0	retained_final_dataset
OQ319291.1	1		1	0	retained_final_dataset
OQ319292.1	1		1	0	retained_final_dataset
OQ319293.1	1		1	0	retained_final_dataset
OQ319294.1	1		1	0	retained_final_dataset
OQ319295.1	1		1	0	retained_final_dataset
OQ319296.1	1		1	0	retained_final_dataset
OQ319297.1	1		1	0	retained_final_dataset
OQ319298.1	1		1	0	retained_final_dataset
OQ319299.1	1		1	0	retained_final_dataset
OQ319300.1	1		1	0	retained_final_dataset
OQ319301.1	1		1	0	retained_final_dataset
OQ319302.1	1		1	0	retained_final_dataset
OQ319303.1	1		1	0	retained_final_dataset
OQ319304.1	1		1	0	retained_final_dataset
OQ319305.1	1		1	0	retained_final_dataset
OQ319306.1	1		1	0	retained_final_dataset
OQ319307.1	1		1	0	retained_final_dataset
OQ319308.1	1		1	0	retained_final_dataset
OQ319309.1	1		1	0	retained_final_dataset
OQ319310.1	1		1	0	retained_final_dataset
OQ319311.1	1		1	0	retained_final_dataset
OQ319312.1	1		1	0	retained_final_dataset
OQ319313.1	1		1	0	retained_final_dataset
OQ319314.1	1		1	0	retained_final_dataset
OQ319315.1	1		1	0	retained_final_dataset
OQ319316.1	1		1	0	retained_final_dataset
OQ319317.1	1		1	0	retained_final_dataset
OQ319318.1	1		1	0	retained_final_dataset
OQ319319.1	1		1	0	retained_final_dataset
OQ319320.1	1		1	0	retained_final_dataset
OQ319321.1	1		1	0	retained_final_dataset
OQ508898.1	1		1	0	retained_final_dataset
OR340928.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340929.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340930.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340931.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340932.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340933.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340934.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340935.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340936.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340937.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340938.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340939.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340940.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340941.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340942.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340943.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340944.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340945.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340946.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340947.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340948.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340949.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340950.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340951.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340952.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340953.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340954.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340955.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340956.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340957.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340958.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340959.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340960.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340961.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340962.1	1		0	0	not_retained_stage_unresolved_without_415_list
OR340963.1	1		0	0	not_retained_stage_unresolved_without_415_list
PP135542.1	1		0	0	not_retained_stage_unresolved_without_415_list
PP471677.1	1		1	0	retained_final_dataset
PP471678.1	1		1	0	retained_final_dataset
PP471682.1	1		1	0	retained_final_dataset
PP471683.1	1		1	0	retained_final_dataset
PP471690.1	1		1	0	retained_final_dataset
PP471691.1	1		1	0	retained_final_dataset
PP471692.1	1		1	0	retained_final_dataset
PP471699.1	1		1	0	retained_final_dataset
PP471700.1	1		1	0	retained_final_dataset
PP471701.1	1		1	0	retained_final_dataset
PQ758684.1	1		0	0	not_retained_stage_unresolved_without_415_list
PQ816544.1	1		0	0	not_retained_stage_unresolved_without_415_list
PQ816556.1	1		0	0	not_retained_stage_unresolved_without_415_list
PQ858033.1	1		0	0	not_retained_stage_unresolved_without_415_list
PV034403.1	1		0	0	not_retained_stage_unresolved_without_415_list
PV054095.1	1		1	0	retained_final_dataset
U04698.1	1		0	0	not_retained_stage_unresolved_without_415_list
U04702.1	1		0	0	not_retained_stage_unresolved_without_415_list
U04704.1	1		0	0	not_retained_stage_unresolved_without_415_list
U36419.1	1		0	0	not_retained_stage_unresolved_without_415_list
U52726.1	1		1	0	retained_final_dataset
U52727.1	1		1	0	retained_final_dataset
X12841.1	1		1	0	retained_final_dataset
X86227.1	1		0	0	not_retained_stage_unresolved_without_415_list
X86235.1	1		0	0	not_retained_stage_unresolved_without_415_list
X86236.1	1		0	0	not_retained_stage_unresolved_without_415_list
X86261.2	1		0	0	not_retained_stage_unresolved_without_415_list
X86269.2	1		0	0	not_retained_stage_unresolved_without_415_list
X86270.2	1		0	0	not_retained_stage_unresolved_without_415_list
X86295.1	1		0	0	not_retained_stage_unresolved_without_415_list
X86303.1	1		0	0	not_retained_stage_unresolved_without_415_list
X86304.2	1		0	0	not_retained_stage_unresolved_without_415_list
X95493.1	2		0	0	not_retained_stage_unresolved_without_415_list
X95494.1	1		0	0	not_retained_stage_unresolved_without_415_list
Y10943.1	1		0	1	manually_discarded_after_crabs
